family	params	seed	verdict	mono_verdict	agree	certcheck	rounds	cex	budget	chaotic	intermediate	exact	inv	abs_states	witness_len	mono_states
clients	2	-	holds	holds	yes	pass	2	3	7	0	0	2	3	3	0	3
clients-bug	2	-	violation	violation	yes	-	2	3	7	0	0	2	0	4	2	4
ring	2	-	holds	holds	yes	pass	3	4	8	0	0	2	4	4	0	4
clients	3	-	holds	holds	yes	pass	2	4	8	0	0	2	4	4	0	4
clients-bug	3	-	violation	violation	yes	-	2	4	8	0	0	2	0	5	2	5
ring	3	-	holds	holds	yes	pass	3	4	8	0	0	2	6	6	0	6
clients	5	-	holds	holds	yes	pass	2	6	10	0	0	2	6	6	0	6
clients-bug	5	-	violation	violation	yes	-	2	6	10	0	0	2	0	7	2	7
ring	5	-	holds	holds	yes	pass	3	4	8	0	0	2	10	10	0	10
clients	8	-	holds	holds	yes	pass	2	9	13	0	0	2	9	9	0	9
clients-bug	8	-	violation	violation	yes	-	2	9	13	0	0	2	0	10	2	10
ring	8	-	holds	holds	yes	pass	3	4	8	0	0	2	16	16	0	16
rand	3 4 2 5 0.5 1	1	violation	violation	yes	-	1	0	13	3	0	0	0	2	1	3
rand	3 4 2 5 0.5 2	2	violation	violation	yes	-	1	0	10	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 3	3	violation	violation	yes	-	3	0	12	1	0	2	0	3	2	4
rand	3 4 2 5 0.5 4	4	holds	holds	yes	pass	3	1	12	1	0	2	3	3	0	3
rand	3 4 2 5 0.5 5	5	holds	holds	yes	pass	2	0	10	2	0	1	1	1	0	2
rand	3 4 2 5 0.5 6	6	holds	holds	yes	pass	1	0	15	3	0	0	3	3	0	3
rand	3 4 2 5 0.5 7	7	violation	violation	yes	-	3	0	9	1	0	2	0	2	1	2
rand	3 4 2 5 0.5 8	8	holds	holds	yes	pass	2	0	10	2	0	1	1	1	0	1
rand	3 4 2 5 0.5 9	9	holds	holds	yes	pass	3	0	14	0	1	2	1	1	0	1
rand	3 4 2 5 0.5 10	10	violation	violation	yes	-	1	0	11	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 11	11	violation	violation	yes	-	1	0	11	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 12	12	violation	violation	yes	-	1	0	13	3	0	0	0	3	1	3
rand	3 4 2 5 0.5 13	13	violation	violation	yes	-	1	0	12	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 14	14	holds	holds	yes	pass	2	0	12	2	0	1	1	1	0	1
rand	3 4 2 5 0.5 15	15	violation	violation	yes	-	1	0	10	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 16	16	violation	violation	yes	-	1	0	12	3	0	0	0	2	1	2
rand	3 4 2 5 0.5 17	17	holds	holds	yes	pass	2	0	15	2	0	1	1	1	0	1
rand	3 4 2 5 0.5 18	18	violation	violation	yes	-	2	0	12	2	0	1	0	2	1	3
rand	3 4 2 5 0.5 19	19	holds	holds	yes	pass	2	0	12	2	0	1	1	1	0	3
rand	3 4 2 5 0.5 20	20	violation	violation	yes	-	1	0	13	3	0	0	0	2	1	3
rand	3 4 2 5 0.5 21	21	holds	holds	yes	pass	2	0	13	2	0	1	2	2	0	6
rand	3 4 2 5 0.5 22	22	holds	holds	yes	pass	2	0	13	2	0	1	1	1	0	2
rand	3 4 2 5 0.5 23	23	violation	violation	yes	-	1	0	12	3	0	0	0	3	1	4
